0 0
1000 0.176439
2000 0.356983
3000 0.526551
4000 0.694506
5000 0.865811
6000 1.03907
7000 1.21253
8000 1.38197
9000 1.56342
10000 1.7349
11000 1.98448
12000 2.16844
13000 2.33715
14000 2.5278
15000 2.69491
16000 2.85943
17000 3.03085
18000 3.19798
19000 3.3738
20000 3.56588
21000 3.73308
22000 3.89874
23000 4.06711
24000 4.2325
25000 4.3964
26000 4.56113
27000 4.72703
28000 4.89325
29000 5.0603
30000 5.22845
31000 5.39901
32000 5.56733
33000 5.74644
34000 5.91356
35000 6.08339
36000 6.25139
37000 6.41855
38000 6.58474
39000 6.75429
40000 6.92007
41000 7.08497
42000 7.25293
43000 7.41967
44000 7.58696
45000 7.75504
46000 7.92037
47000 8.08955
48000 8.26069
49000 8.42888
50000 8.60082
51000 8.78043
52000 9.00211
53000 9.17024
54000 9.33375
55000 9.49915
56000 9.66884
57000 9.84088
58000 10.0076
59000 10.1722
60000 10.3452
61000 10.5129
62000 10.6794
63000 10.8467
64000 11.0174
65000 11.1899
66000 11.3987
67000 11.567
68000 11.7324
69000 11.8973
70000 12.0651
71000 12.2318
72000 12.3998
73000 12.5657
74000 12.7302
75000 12.8968
76000 13.0625
77000 13.2294
78000 13.3953
79000 13.5599
80000 13.7292
81000 13.9011
82000 14.0689
83000 14.2354
84000 14.4017
85000 14.5682
86000 14.7351
87000 14.9026
88000 15.0727
89000 15.2392
90000 15.4094
91000 15.6252
92000 15.7902
93000 15.9564
94000 16.122
95000 16.2875
96000 16.4547
97000 16.6196
98000 16.7925
99000 16.9586
100000 17.1251
